timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
17642790,1015.28,12.69,-69.78,350.0,-280.0,0.0
17651788,1009.43,8.17,-61.61,-980.0,630.0,70.0
17660788,1011.75,5.0,-69.78,-1120.0,140.0,0.0
17667789,1010.65,2.56,-70.52,-560.0,420.0,0.0
17676789,1010.16,5.25,-66.61,210.0,140.0,0.0
17685788,1011.87,7.2,-68.32,280.0,280.0,0.0
17692790,1010.04,6.83,-62.95,70.0,350.0,0.0
17701788,1011.38,7.93,-66.86,-210.0,210.0,0.0
17708789,1010.4,6.34,-64.54,-560.0,420.0,0.0
17717788,1011.01,5.49,-68.32,-560.0,140.0,70.0
17726789,1010.4,5.25,-68.69,-350.0,350.0,0.0
17733789,1011.26,6.1,-65.88,-210.0,140.0,0.0
17742789,1010.89,6.95,-66.98,-280.0,350.0,0.0
17749790,1010.65,5.98,-67.22,-420.0,350.0,0.0
17758788,1010.65,5.98,-67.59,-490.0,420.0,70.0
17767788,1010.77,5.12,-67.83,-280.0,350.0,0.0
17774789,1010.4,5.61,-66.0,-70.0,350.0,0.0
17783789,1011.26,6.95,-66.98,-70.0,210.0,0.0
17792789,1011.01,6.59,-67.59,-140.0,280.0,0.0
17799789,1010.04,4.51,-65.15,-280.0,280.0,0.0
17808789,1011.99,6.34,-69.05,0.0,210.0,0.0
17815790,1009.18,4.88,-65.76,-70.0,280.0,0.0
17824789,1011.99,7.2,-66.12,140.0,70.0,0.0
17833789,1010.4,4.15,-68.56,140.0,350.0,0.0
17840789,1010.89,6.22,-66.49,350.0,210.0,0.0
17849788,1011.26,6.59,-66.37,350.0,140.0,0.0
17856789,1011.38,7.32,-64.05,-140.0,280.0,0.0
17865788,1011.38,4.51,-70.03,-70.0,210.0,0.0
17874789,1010.53,6.59,-66.73,280.0,280.0,0.0
17881790,1010.4,5.0,-66.25,140.0,140.0,0.0
17890789,1012.84,9.39,-64.42,70.0,210.0,0.0
17899789,1012.11,8.54,-67.59,0.0,70.0,0.0
17906789,1008.21,3.54,-64.66,-700.0,350.0,0.0
17915788,1013.82,9.64,-69.05,-560.0,420.0,0.0
17922790,1007.6,0.24,-66.37,-350.0,210.0,0.0
17931789,1014.19,10.25,-68.69,210.0,280.0,0.0
17940788,1008.21,3.29,-62.83,-210.0,140.0,0.0
17947790,1013.82,8.42,-73.08,70.0,210.0,0.0
17956788,1007.96,4.27,-61.24,-140.0,350.0,0.0
17963790,1013.33,8.05,-71.49,-70.0,70.0,0.0
17972788,1009.79,6.95,-62.71,-350.0,420.0,0.0
17981789,1012.36,7.32,-67.83,-560.0,210.0,0.0
17988789,1010.28,5.0,-67.95,-490.0,420.0,0.0
17997788,1010.16,5.0,-68.2,70.0,210.0,70.0
18006788,1010.53,5.98,-68.44,630.0,70.0,0.0
18013789,1011.38,7.32,-65.76,490.0,210.0,0.0
18022789,1010.65,7.69,-64.29,0.0,350.0,0.0
18029790,1010.77,6.22,-67.1,-350.0,350.0,0.0
18038788,1010.4,6.59,-66.86,-350.0,280.0,0.0
18047789,1011.38,5.98,-66.73,-350.0,280.0,0.0
18054789,1010.04,5.49,-66.61,-350.0,350.0,70.0
18063789,1011.01,5.98,-66.37,-210.0,280.0,0.0
18070790,1010.04,5.86,-67.1,-70.0,350.0,70.0
18079789,1010.89,5.73,-68.32,210.0,210.0,0.0
18088788,1011.62,5.86,-67.22,210.0,280.0,0.0
18095789,1010.65,6.71,-64.05,70.0,140.0,0.0
18104788,1011.87,7.32,-66.86,-280.0,210.0,0.0
18113788,1011.14,6.71,-66.12,-490.0,350.0,70.0
18120789,1010.65,3.66,-69.3,-280.0,210.0,0.0
18129789,1010.53,5.25,-69.42,210.0,350.0,0.0
18136790,1010.77,7.81,-61.61,140.0,350.0,0.0
18145789,1010.89,3.42,-71.13,420.0,70.0,0.0
18154789,1010.89,6.71,-66.49,840.0,420.0,0.0
18161790,1010.4,8.66,-62.46,490.0,-70.0,0.0
18170788,1012.72,10.25,-66.73,-560.0,490.0,70.0
18179789,1009.79,6.71,-62.83,-1120.0,420.0,0.0
18186789,1011.38,4.27,-71.74,-910.0,350.0,0.0
18195789,1008.7,3.42,-67.1,-210.0,350.0,70.0
18202790,1011.14,4.15,-68.44,560.0,0.0,0.0
18211789,1010.89,6.1,-66.49,770.0,210.0,0.0
18220789,1012.23,9.15,-65.03,350.0,140.0,0.0
18227789,1010.53,6.95,-65.27,-140.0,420.0,0.0
18236788,1011.14,7.32,-65.39,-280.0,140.0,0.0
18243789,1011.38,6.83,-68.56,-560.0,420.0,0.0
18252788,1009.18,5.25,-66.25,-560.0,280.0,0.0
18261789,1009.92,5.98,-69.05,-280.0,210.0,0.0
18268789,1011.14,5.37,-66.73,0.0,280.0,0.0
18277789,1010.77,6.59,-64.54,-70.0,280.0,0.0
18286788,1011.5,6.22,-66.37,-350.0,280.0,0.0
