timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
3626870842,453.84,165.68,894.44,-118.12,271.25,65.62
3626936841,454.21,165.62,894.44,-83.12,253.75,52.5
3627002842,454.27,165.74,894.26,-83.12,280.0,52.5
3627068842,453.96,165.49,894.38,-70.0,249.38,48.12
3627134842,454.15,165.49,894.26,-87.5,253.75,52.5
3627201841,454.02,165.8,894.57,-78.75,266.88,43.75
3627267841,454.08,165.55,894.2,-74.38,245.0,52.5
3627332841,454.15,165.31,894.26,-74.38,253.75,35.0
3627398841,454.08,165.25,894.38,-96.25,258.12,43.75
3627464841,454.08,165.55,894.14,-70.0,258.12,52.5
3627529842,453.9,165.68,894.57,-48.12,288.75,39.38
3627595841,453.9,166.29,894.44,-91.88,249.38,52.5
3627661841,454.08,165.25,894.44,-70.0,253.75,43.75
3627728841,453.66,165.92,894.2,-118.12,262.5,70.0
3627794841,453.9,165.37,894.32,-61.25,275.62,48.12
3627860841,453.9,165.98,894.2,-118.12,271.25,39.38
3627926841,454.39,165.07,894.32,-100.62,245.0,61.25
3627992841,453.78,165.74,894.08,-100.62,253.75,56.88
3628058841,453.96,165.74,894.5,-96.25,258.12,61.25
3628122841,453.9,165.01,894.44,-91.88,293.12,48.12
3628188842,453.9,165.68,894.57,-105.0,245.0,56.88
3628254841,454.08,165.55,894.26,-70.0,266.88,43.75
3628320842,454.02,165.49,894.32,-87.5,240.62,39.38
3628386842,454.21,165.49,894.14,-83.12,236.25,52.5
3628452841,453.9,165.62,894.26,-83.12,245.0,48.12
3628518841,453.9,165.25,894.57,-87.5,258.12,48.12
3628584841,453.78,165.68,894.14,-83.12,275.62,39.38
3628650842,453.9,165.55,894.44,-96.25,262.5,48.12
3628717841,453.6,165.55,894.2,-96.25,262.5,56.88
3628782842,454.02,165.74,894.69,-83.12,262.5,52.5
3628847841,453.84,165.8,894.08,-78.75,245.0,61.25
3628914841,454.21,165.49,894.32,-56.88,258.12,35.0
3628980842,454.21,165.68,894.2,-87.5,236.25,61.25
3629045841,453.9,165.49,894.14,-65.62,240.62,56.88
3629111842,454.02,165.49,894.08,-83.12,262.5,52.5
3629178841,454.02,165.37,894.5,-83.12,249.38,52.5
3629244841,453.96,165.86,894.5,-48.12,266.88,35.0
3629310842,453.84,166.16,894.5,-91.88,249.38,61.25
3629376842,454.39,165.25,894.44,-91.88,271.25,52.5
3629442841,453.9,165.74,894.44,-87.5,240.62,48.12
3629508842,454.02,165.25,894.26,-83.12,253.75,48.12
3629572841,453.72,165.8,894.26,-96.25,253.75,61.25
3629639841,453.84,166.23,894.14,-87.5,275.62,61.25
3629705841,453.96,165.37,894.2,-48.12,266.88,35.0
3629771841,454.02,165.92,894.57,-118.12,253.75,56.88
3629837842,454.21,165.13,894.14,-122.5,253.75,56.88
3629903842,453.96,165.86,893.96,-83.12,258.12,48.12
3629969841,454.02,165.49,894.5,-74.38,258.12,56.88
3630035842,454.02,165.68,894.44,-100.62,249.38,52.5
3630101841,453.9,165.68,894.44,-91.88,266.88,61.25
3630167841,454.27,165.55,894.2,-78.75,249.38,43.75
3630231841,454.02,165.8,894.44,-100.62,236.25,56.88
3630297841,453.9,165.55,894.44,-91.88,240.62,52.5
3630363842,454.15,165.19,894.32,-56.88,262.5,48.12
3630429842,453.96,165.62,894.38,-65.62,262.5,52.5
3630496841,453.84,165.8,894.69,-56.88,271.25,56.88
3630562841,454.08,165.62,894.38,-56.88,266.88,56.88
3630628841,454.02,165.68,894.38,-61.25,253.75,48.12
3630694841,453.96,165.68,894.44,-74.38,262.5,52.5
3630759841,453.78,165.68,894.2,-105.0,249.38,48.12
3630825841,454.08,165.37,894.32,-91.88,245.0,61.25
3630891841,453.72,165.31,894.32,-78.75,266.88,48.12
3630957842,453.96,165.49,894.44,-87.5,266.88,61.25
3631023842,454.21,165.43,894.63,-78.75,253.75,43.75
3631088841,453.9,165.8,894.63,-105.0,266.88,61.25
3631154841,453.84,165.25,894.44,-83.12,258.12,48.12
3631220841,453.72,165.55,894.26,-87.5,266.88,48.12
3631286841,453.9,165.55,894.75,-87.5,240.62,48.12
3631352841,453.84,165.98,894.38,-83.12,262.5,52.5
3631419841,454.45,165.25,894.32,-74.38,266.88,48.12
3631485841,454.15,165.68,894.38,-87.5,266.88,52.5
3631551841,453.78,165.86,894.08,-65.62,236.25,56.88
3631615841,453.96,165.43,894.38,-78.75,249.38,43.75
3631681841,453.84,165.25,894.5,-83.12,253.75,43.75
3631747842,454.02,165.74,894.44,-65.62,275.62,48.12
3631813842,454.08,165.49,894.44,-83.12,253.75,65.62
3631879841,454.02,165.49,894.26,-100.62,249.38,52.5
3631945841,453.72,165.55,894.44,-87.5,240.62,43.75
3632011841,454.15,165.49,894.44,-78.75,245.0,39.38
3632077841,454.02,165.62,894.14,-87.5,249.38,48.12
3632143841,453.96,165.68,894.14,-78.75,253.75,39.38
3632209841,453.9,165.55,894.38,-100.62,258.12,52.5
3632275841,453.96,165.25,894.44,-56.88,271.25,48.12
